#
# filename:  auxanimgrp.dat
# description:	This file describes additional anim association groups. 
#
#format is
# name, filename, animtype, numanims
#  animlist....
#end
#
# name: 	name of animation definition group
# filename:	name of file in which these animations occur (minus the IFP extension)
# animtype:	type of animations 
# numanims:	number of animations in groups
#

default, ped, car, 8
	CAR_sit
	CAR_sitp
	Drive_L
	Drive_R
	CAR_getin_LHS
	CAR_getin_RHS
	CAR_getout_LHS
	CAR_getout_RHS
end

default, ped, mywalkcycle, 3
	IDLE_ARMED
	FUCKU
	GUN_STAND
end

default, colt45, colt45, 3
	COLT45_FIRE
	COLT45_RELOAD
	colt45_crouchfire
end

default, rifle, rifle, 5
	RIFLE_crouchfire
	RIFLE_crouchload
	RIFLE_fire
	RIFLE_fire_poor
	RIFLE_load
end

default, rocket, rocket, 5
	idle_rocket
	RocketFire
	run_rocket
	walk_rocket
	WALK_start_rocket
end

default, grenade, grenade, 3
	WEAPON_start_throw
	WEAPON_throw
	WEAPON_throwu
end
